countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,group,group2,account_t_d,fiaccount_t_d,mobileaccount_t_d,borrow_any_t_d,fin4_d,fin11_2a,fin11a,fin11b,fin11c,fin11f,fin11d,fin11e,fin14a,fin14b,fin14c,fin14d,fin13_1a,fin13_1b,fin26a,fin26b,fin27a,fin27b,fin17f,fin17a_17a1_d,fin17a,fin17b,fin17c
Czechia,CZE,2014,8944904,High income,High income,income,poorest 40%,0.771392578,0.771392578,NA,0.47604233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285050721,0.285050721,NA,NA
Denmark,DNK,2014,4641892,High income,High income,income,richest 60%,1,1,NA,0.526965775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.700683266,0.700683266,NA,NA
Denmark,DNK,2014,4641892,High income,High income,income,poorest 40%,1,1,NA,0.523139187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563271557,0.563271557,NA,NA
Dominican Republic,DOM,2014,7152325,Latin America & Caribbean (excluding high income),Upper middle income,income,richest 60%,0.625928417,0.624187615,NA,0.606058647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33966598,0.33966598,NA,0.154380985
Dominican Republic,DOM,2014,7152325,Latin America & Caribbean (excluding high income),Upper middle income,income,poorest 40%,0.412936852,0.412936852,NA,0.487192397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153193257,0.153193257,NA,0.12451889
Ecuador,ECU,2014,11054660,Latin America & Caribbean (excluding high income),Upper middle income,income,richest 60%,0.563159215,0.563159215,NA,0.290521151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176137486,0.176137486,NA,NA
Ecuador,ECU,2014,11054660,Latin America & Caribbean (excluding high income),Upper middle income,income,poorest 40%,0.310402195,0.310402195,NA,0.205077648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092314686,0.092314686,NA,NA
"Egypt, Arab Rep.",EGY,2014,63009609,Middle East & North Africa (excluding high income),Lower middle income,income,richest 60%,0.198864158,0.190957564,NA,0.351137982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148335904
"Egypt, Arab Rep.",EGY,2014,63009609,Middle East & North Africa (excluding high income),Lower middle income,income,poorest 40%,0.054577862,0.054577862,NA,0.352094506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072578429
El Salvador,SLV,2014,4304307,Latin America & Caribbean (excluding high income),Lower middle income,income,richest 60%,0.465669046,0.448267042,NA,0.497867161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208331928,0.208331928,NA,NA
El Salvador,SLV,2014,4304307,Latin America & Caribbean (excluding high income),Lower middle income,income,poorest 40%,0.219417901,0.193393619,NA,0.394796603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037633849,0.037633849,NA,NA
Estonia,EST,2014,1110561,High income,High income,income,richest 60%,0.979804082,0.979804082,NA,0.509326269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.377842225,0.377842225,NA,NA
Estonia,EST,2014,1110561,High income,High income,income,poorest 40%,0.972075808,0.972075808,NA,0.449891064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224076831,0.224076831,NA,NA
Ethiopia,ETH,2014,55109169,Sub-Saharan Africa (excluding high income),Low income,income,richest 60%,0.262639188,0.262639188,NA,0.428993977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160570139,0.160570139,NA,0.327491677
Ethiopia,ETH,2014,55109169,Sub-Saharan Africa (excluding high income),Low income,income,poorest 40%,0.15008216,0.15008216,NA,0.444614102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099606252,0.099606252,NA,0.253321228
Finland,FIN,2014,4545771,High income,High income,income,richest 60%,1,1,NA,0.735578764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653533089,0.653533089,NA,NA
Finland,FIN,2014,4545771,High income,High income,income,poorest 40%,1,1,NA,0.602300911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.443735939,0.443735939,NA,NA
France,FRA,2014,53825137,High income,High income,income,richest 60%,0.979570201,0.979570201,NA,0.52463567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609052304,0.609052304,NA,NA
France,FRA,2014,53825137,High income,High income,income,poorest 40%,0.944811583,0.944811583,NA,0.490456439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387894624,0.387894624,NA,NA
Gabon,GAB,2014,1209169,Sub-Saharan Africa (excluding high income),Upper middle income,income,richest 60%,0.433155522,0.404622865,NA,0.41858268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248664986,0.248664986,NA,0.265082721
Gabon,GAB,2014,1209169,Sub-Saharan Africa (excluding high income),Upper middle income,income,poorest 40%,0.175541305,0.146849503,NA,0.365075863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077168073,0.077168073,NA,0.22088953
Georgia,GEO,2014,3020250,Europe & Central Asia (excluding high income),Upper middle income,income,richest 60%,0.471661703,0.471661703,NA,0.37018179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,GEO,2014,3020250,Europe & Central Asia (excluding high income),Upper middle income,income,poorest 40%,0.283801604,0.283801604,NA,0.360849023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,2014,69974132,High income,High income,income,richest 60%,0.998805747,0.998805747,NA,0.588341196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615755342,0.615755342,NA,NA
Germany,DEU,2014,69974132,High income,High income,income,poorest 40%,0.969911048,0.969911048,NA,0.493332213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521065936,0.521065936,NA,NA
Ghana,GHA,2014,16743744,Sub-Saharan Africa (excluding high income),Lower middle income,income,richest 60%,0.451520331,0.389465035,0.14973283,0.389387372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225926757,0.225926757,NA,0.252434777
Ghana,GHA,2014,16743744,Sub-Saharan Africa (excluding high income),Lower middle income,income,poorest 40%,0.335196061,0.281105067,0.100493275,0.3323283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125719505,0.125719505,NA,0.159158658
Greece,GRC,2014,9357686,High income,High income,income,richest 60%,0.90920746,0.90920746,NA,0.301807351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171540263,0.171540263,NA,NA
Greece,GRC,2014,9357686,High income,High income,income,poorest 40%,0.823547436,0.823547436,NA,0.358178306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05732076,0.05732076,NA,NA
Guatemala,GTM,2014,9616393,Latin America & Caribbean (excluding high income),Upper middle income,income,richest 60%,0.495242303,0.489130495,NA,0.477968588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202039868,0.202039868,NA,0.150706918
Guatemala,GTM,2014,9616393,Latin America & Caribbean (excluding high income),Upper middle income,income,poorest 40%,0.290836384,0.285942026,NA,0.413241001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075579581,0.075579581,NA,0.068220267
Guinea,GIN,2014,6293415,Sub-Saharan Africa (excluding high income),Low income,income,richest 60%,NA,NA,NA,0.52982114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204728365
Guinea,GIN,2014,6293415,Sub-Saharan Africa (excluding high income),Low income,income,poorest 40%,NA,NA,NA,0.518293136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160430268
Haiti,HTI,2014,6636287,Latin America & Caribbean (excluding high income),Lower middle income,income,richest 60%,0.225489907,0.208510861,NA,0.490596883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,HTI,2014,6636287,Latin America & Caribbean (excluding high income),Lower middle income,income,poorest 40%,0.133082144,0.124499879,NA,0.455481586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,HND,2014,5672647,Latin America & Caribbean (excluding high income),Lower middle income,income,richest 60%,0.385674015,0.370430666,NA,0.473564291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194242189,0.194242189,NA,NA
Honduras,HND,2014,5672647,Latin America & Caribbean (excluding high income),Lower middle income,income,poorest 40%,0.20855013,0.195348716,NA,0.36689176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071988432,0.071988432,NA,NA
"Hong Kong SAR, China",HKG,2014,6342961,High income,High income,income,richest 60%,0.976887507,0.976887507,NA,0.782249297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631798031,0.631798031,NA,NA
"Hong Kong SAR, China",HKG,2014,6342961,High income,High income,income,poorest 40%,0.940363528,0.940363528,NA,0.530871753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320379307,0.320379307,NA,NA
Hungary,HUN,2014,8464202,High income,High income,income,richest 60%,0.760383773,0.760383773,NA,0.318161172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248009025,0.248009025,NA,NA
Hungary,HUN,2014,8464202,High income,High income,income,poorest 40%,0.665746803,0.665746803,NA,0.427492805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110268515,0.110268515,NA,NA
India,IND,2014,907853291,South Asia (excluding high income),Lower middle income,income,richest 60%,0.594840292,0.589251085,NA,0.4866043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191025582,0.191025582,NA,NA
India,IND,2014,907853291,South Asia (excluding high income),Lower middle income,income,poorest 40%,0.436106769,0.434801675,NA,0.464779793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072335579,0.072335579,NA,NA
Indonesia,IDN,2014,185894322,East Asia & Pacific (excluding high income),Lower middle income,income,richest 60%,0.452677592,0.452677592,NA,0.547074854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344549232,0.344549232,NA,0.266243528
Indonesia,IDN,2014,185894322,East Asia & Pacific (excluding high income),Lower middle income,income,poorest 40%,0.221340114,0.218535837,NA,0.600549619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146294111,0.146294111,NA,0.23109445
"Iran, Islamic Rep.",IRN,2014,61676328,Middle East & North Africa (excluding high income),Lower middle income,income,richest 60%,0.93880894,0.937052641,NA,0.821520773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270063781,0.270063781,NA,NA
"Iran, Islamic Rep.",IRN,2014,61676328,Middle East & North Africa (excluding high income),Lower middle income,income,poorest 40%,0.898988692,0.898988692,NA,0.813765906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136381502,0.136381502,NA,NA
Iraq,IRQ,2014,20884823,Middle East & North Africa (excluding high income),Upper middle income,income,richest 60%,0.123264846,0.123264846,NA,0.645697275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190480975
Iraq,IRQ,2014,20884823,Middle East & North Africa (excluding high income),Upper middle income,income,poorest 40%,0.084286098,0.084286098,NA,0.785314374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12917968
Ireland,IRL,2014,3629630,High income,High income,income,richest 60%,0.963701282,0.963701282,NA,0.658902593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535746986,0.535746986,NA,NA
Ireland,IRL,2014,3629630,High income,High income,income,poorest 40%,0.92254306,0.92254306,NA,0.555665102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432574018,0.432574018,NA,NA
Israel,ISR,2014,5787501,High income,High income,income,richest 60%,0.9320479,0.9320479,NA,0.895604845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601370514,0.601370514,NA,NA
Israel,ISR,2014,5787501,High income,High income,income,poorest 40%,0.850693239,0.850693239,NA,0.768611404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.434612105,0.434612105,NA,NA
Italy,ITA,2014,51850742,High income,High income,income,richest 60%,0.906413656,0.906413656,NA,0.620448847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.442009778,0.442009778,NA,NA
Italy,ITA,2014,51850742,High income,High income,income,poorest 40%,0.826279775,0.826279775,NA,0.594476322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195503411,0.195503411,NA,NA
Jamaica,JAM,2014,2096466,Latin America & Caribbean (excluding high income),Upper middle income,income,richest 60%,0.846044374,0.846044374,NA,0.521016471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325403139,0.325403139,NA,0.323858418
Jamaica,JAM,2014,2096466,Latin America & Caribbean (excluding high income),Upper middle income,income,poorest 40%,0.692284484,0.689476456,NA,0.444455502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254121795,0.254121795,NA,0.195141352
Japan,JPN,2014,110762343,High income,High income,income,richest 60%,0.963945633,0.963945633,NA,0.596232593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.620201998,0.620201998,NA,NA
Japan,JPN,2014,110762343,High income,High income,income,poorest 40%,0.969743001,0.969743001,NA,0.591668027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583297817,0.583297817,NA,NA
Jordan,JOR,2014,5205320,Middle East & North Africa (excluding high income),Upper middle income,income,richest 60%,0.301150301,0.301150301,NA,0.34036464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179520379
Jordan,JOR,2014,5205320,Middle East & North Africa (excluding high income),Upper middle income,income,poorest 40%,0.163352547,0.163352547,NA,0.317079366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109840379
Kazakhstan,KAZ,2014,12875804,Europe & Central Asia (excluding high income),Upper middle income,income,richest 60%,0.600188762,0.600188762,NA,0.474645597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kazakhstan,KAZ,2014,12875804,Europe & Central Asia (excluding high income),Upper middle income,income,poorest 40%,0.447278944,0.447278944,NA,0.413579615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,KEN,2014,25714887,Sub-Saharan Africa (excluding high income),Lower middle income,income,richest 60%,0.822842976,0.67709507,0.627395658,0.820805491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395565743,0.395565743,NA,0.43237155
Kenya,KEN,2014,25714887,Sub-Saharan Africa (excluding high income),Lower middle income,income,poorest 40%,0.631689037,0.363688715,0.518441741,0.753494656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160640886,0.160640886,NA,0.349849772
"Korea, Rep.",KOR,2014,43035419,High income,High income,income,richest 60%,0.943662106,0.943662106,NA,0.736679955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627561079,0.627561079,NA,NA
"Korea, Rep.",KOR,2014,43035419,High income,High income,income,poorest 40%,0.943518328,0.943518328,NA,0.582392411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.360030351,0.360030351,NA,NA
Kosovo,XKX,2014,1334099,Europe & Central Asia (excluding high income),Upper middle income,income,richest 60%,0.528483096,0.528483096,NA,0.375932252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kosovo,XKX,2014,1334099,Europe & Central Asia (excluding high income),Upper middle income,income,poorest 40%,0.402131105,0.402131105,NA,0.45119776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,KWT,2014,2736473,High income,High income,income,richest 60%,0.791225959,0.791225959,NA,0.631459576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31488896,0.31488896,NA,NA
Kuwait,KWT,2014,2736473,High income,High income,income,poorest 40%,0.636726453,0.636726453,NA,0.647829113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16608239,0.16608239,NA,NA
Kyrgyz Republic,KGZ,2014,3978542,Europe & Central Asia (excluding high income),Lower middle income,income,richest 60%,0.226763859,0.226763859,NA,0.386970739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyrgyz Republic,KGZ,2014,3978542,Europe & Central Asia (excluding high income),Lower middle income,income,poorest 40%,0.121566909,0.121566909,NA,0.374717705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,LVA,2014,1719348,High income,High income,income,richest 60%,0.926830217,0.926830217,NA,0.455690409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289306216,0.289306216,NA,NA
Latvia,LVA,2014,1719348,High income,High income,income,poorest 40%,0.865140408,0.865140408,NA,0.475412622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1986055,0.1986055,NA,NA
Lebanon,LBN,2014,4265657,Middle East & North Africa (excluding high income),Lower middle income,income,richest 60%,0.593019598,0.593019598,NA,0.367205313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256484685,0.256484685,NA,NA
Lebanon,LBN,2014,4265657,Middle East & North Africa (excluding high income),Lower middle income,income,poorest 40%,0.283534237,0.283534237,NA,0.420832149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05203408,0.05203408,NA,NA
Lithuania,LTU,2014,2524428,High income,High income,income,richest 60%,0.837531495,0.837531495,NA,0.359365247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.351797974,0.351797974,NA,NA
Lithuania,LTU,2014,2524428,High income,High income,income,poorest 40%,0.691214134,0.691214134,NA,0.404853201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178661977,0.178661977,NA,NA
Luxembourg,LUX,2014,451457,High income,High income,income,richest 60%,0.968703495,0.968703495,NA,0.783951616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.639946721,0.639946721,NA,NA
Luxembourg,LUX,2014,451457,High income,High income,income,poorest 40%,0.952390805,0.952390805,NA,0.794637277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543864055,0.543864055,NA,NA
Madagascar,MDG,2014,13785487,Sub-Saharan Africa (excluding high income),Low income,income,richest 60%,NA,NA,NA,0.580028333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,MDG,2014,13785487,Sub-Saharan Africa (excluding high income),Low income,income,poorest 40%,NA,NA,NA,0.56321413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,MWI,2014,8735190,Sub-Saharan Africa (excluding high income),Low income,income,richest 60%,0.239004691,0.212212858,NA,0.688715708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298059268
Malawi,MWI,2014,8735190,Sub-Saharan Africa (excluding high income),Low income,income,poorest 40%,0.093559531,0.084858803,NA,0.630245172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253517876
Malaysia,MYS,2014,22158615,East Asia & Pacific (excluding high income),Upper middle income,income,richest 60%,0.844337127,0.844337127,NA,0.656802184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392386474,0.392386474,NA,NA
Malaysia,MYS,2014,22158615,East Asia & Pacific (excluding high income),Upper middle income,income,poorest 40%,0.752771612,0.752771612,NA,0.568414254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259194521,0.259194521,NA,NA
Mali,MLI,2014,9100789,Sub-Saharan Africa (excluding high income),Low income,income,richest 60%,0.232067178,0.1693121,0.116836573,0.398373924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304421152
Mali,MLI,2014,9100789,Sub-Saharan Africa (excluding high income),Low income,income,poorest 40%,0.153577477,0.077105249,0.115803574,0.445751304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130540438
Malta,MLT,2014,364279,High income,High income,income,richest 60%,0.975443598,0.975443598,NA,0.492770757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498572685,0.498572685,NA,NA
Malta,MLT,2014,364279,High income,High income,income,poorest 40%,0.946181681,0.946181681,NA,0.37480577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298805917,0.298805917,NA,NA
Mauritius,MUS,2014,1010413,Sub-Saharan Africa (excluding high income),Upper middle income,income,richest 60%,0.889913807,0.889913807,NA,0.409380437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453237636,0.453237636,NA,NA
Mauritius,MUS,2014,1010413,Sub-Saharan Africa (excluding high income),Upper middle income,income,poorest 40%,0.719548051,0.719548051,NA,0.273754169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207333141,0.207333141,NA,NA
Mexico,MEX,2014,84399247,Latin America & Caribbean (excluding high income),Upper middle income,income,richest 60%,0.456526032,0.453793882,NA,0.578299472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191508699,0.191508699,NA,0.166904334
Mexico,MEX,2014,84399247,Latin America & Caribbean (excluding high income),Upper middle income,income,poorest 40%,0.293630324,0.286588437,NA,0.458218017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074720671,0.074720671,NA,0.188412124
Moldova,MDA,2014,2361002,Europe & Central Asia (excluding high income),Upper middle income,income,richest 60%,0.222055994,0.222055994,NA,0.465366784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moldova,MDA,2014,2361002,Europe & Central Asia (excluding high income),Upper middle income,income,poorest 40%,0.110780324,0.110780324,NA,0.500891961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mongolia,MNG,2014,2074233,East Asia & Pacific (excluding high income),Lower middle income,income,richest 60%,0.936300641,0.936300641,NA,0.547206194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416730973,0.416730973,NA,NA
Mongolia,MNG,2014,2074233,East Asia & Pacific (excluding high income),Lower middle income,income,poorest 40%,0.891090498,0.891090498,NA,0.537642839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205173556,0.205173556,NA,NA
Montenegro,MNE,2014,504976,Europe & Central Asia (excluding high income),Upper middle income,income,richest 60%,0.687533666,0.687533666,NA,0.527590386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
